1,1,Weedman,44.12,1.69,23.40,1234,389,0,2,30.82,32.15,0.94,17.60,153,34,0,10787,2316,452,401,63,4.66,926.13,12.14,2009-05-06 00:01:27,0,0
2,2,aarmstrong,41.25,1.19,22.60,1846,669,0,6,33.25,33.36,0.88,18.40,770,113,0,17357,5277,741,598,39,3.29,1735.28,10.43,2009-05-06 00:01:27,0,0
3,3,pkk,41.19,1.40,22.20,872,463,0,8,15.70,26.48,0.83,14.40,388,202,0,4537,2846,288,313,38,1.59,772.24,6.25,2009-05-06 00:01:27,0,0
4,4,Paradigm2,39.85,1.53,21.20,851,547,0,16,14.18,29.41,0.85,16.10,334,129,0,8064,4528,504,522,68,1.78,894.15,9.58,2009-05-06 00:01:27,0,0
5,5,SheffWill,37.29,0.77,21.00,2353,1812,0,56,2.96,29.78,0.84,16.40,382,154,0,44224,19929,3614,1001,350,2.22,2835.08,16.87,2009-05-06 00:01:27,0,0
6,6,spideycw,37.86,1.19,20.60,1434,1063,0,32,7.84,29.97,0.85,16.50,773,357,0,14751,10611,816,343,49,1.39,1737.54,8.96,2009-05-06 00:01:27,0,0
7,7,Virulence,39.84,2.01,20.30,801,308,0,14,25.60,31.35,0.87,17.20,239,55,0,2738,1105,110,76,11,2.48,546.72,5.21,2009-05-06 00:01:27,0,0
8,8,sendenhorst,35.93,0.83,20.10,1956,1357,0,41,10.18,25.54,0.81,13.90,839,516,0,7926,5476,681,868,85,1.45,1842.53,4.67,2009-05-06 00:01:27,0,0
9,9,Shizoku,36.80,1.20,19.90,1689,709,0,16,22.17,31.30,0.91,17.20,184,41,0,9844,1283,314,70,12,7.67,1233.96,8.23,2009-05-06 00:01:27,0,0
10,10,Lindy_Hop,38.26,1.73,19.80,1007,543,0,50,16.55,25.90,3.60,9.10,2,2,0,5352,4212,405,424,27,1.27,766.15,7.51,2009-05-06 00:01:27,0,0
11,11,Saxy37,36.09,1.08,19.70,2210,1230,0,90,17.17,28.58,0.84,15.60,281,106,0,11582,7406,879,755,142,1.56,1881.03,6.62,2009-05-06 00:01:27,0,0
12,12,Juckto,36.07,1.21,19.50,1542,1092,0,88,10.15,26.35,0.97,14.10,49,42,0,8968,5947,619,317,47,1.51,1364.57,7.03,2009-05-06 00:01:27,0,0
13,13,champyx,34.14,0.68,19.30,3063,2622,0,68,5.41,26.61,0.82,14.50,551,397,0,26058,21506,3267,1644,214,1.21,3606.52,8.13,2009-05-06 00:01:27,0,0
14,14,Correct,35.63,1.29,19.10,1451,783,0,70,15.29,28.20,1.06,15.00,48,27,0,12372,6595,1290,518,16,1.88,1282.47,10.65,2009-05-06 00:01:27,0,0
15,15,grav,34.26,0.90,18.90,1682,1588,0,32,-0.26,29.35,0.82,16.10,493,333,0,22395,8387,1516,1099,242,2.67,2285.21,10.46,2009-05-06 00:01:27,0,0
16,16,Ozzy,34.82,1.17,18.80,1717,818,0,44,20.99,26.59,0.82,14.50,424,148,0,7263,3761,457,549,87,1.93,1458.81,5.29,2009-05-06 00:01:27,0,0
17,17,OneManBucket,34.11,0.90,18.80,1979,1361,0,48,10.54,26.73,0.82,14.60,342,208,0,13781,5953,1033,605,78,2.31,1782.13,8.31,2009-05-06 00:01:27,0,0
18,18,PodKiller,33.57,0.80,18.70,1842,1645,0,48,0.90,29.99,0.84,16.50,418,206,0,30389,12676,1901,759,239,2.40,2234.91,14.45,2009-05-06 00:01:27,0,0
19,19,Broodwich,34.39,1.07,18.70,1441,1099,0,18,1.31,27.77,0.82,15.20,153,100,0,26966,12071,1582,605,43,2.23,1701.71,16.78,2009-05-06 00:01:27,0,0
20,20,Pedro,34.31,1.18,18.50,915,814,0,4,6.23,26.35,0.84,14.30,107,62,0,8862,4799,650,484,31,1.85,1030.83,9.23,2009-05-06 00:01:27,0,0
21,21,Storm_Strike,36.56,1.95,18.40,902,406,0,68,15.93,27.30,2.81,11.30,8,3,0,3791,2429,162,244,14,1.56,647.22,6.11,2009-05-06 00:01:27,0,0
22,22,Abomination1,34.16,1.31,18.10,899,991,0,16,-1.58,25.78,0.82,14.00,97,106,0,6785,4107,691,347,30,1.65,1012.65,7.38,2009-05-06 00:01:27,0,0
23,23,apochboi,33.44,1.10,18.10,1525,1019,0,32,8.61,26.64,1.12,14.00,49,21,0,14398,4840,793,342,14,2.97,1279.64,11.87,2009-05-06 00:01:27,0,0
24,24,RadarRider,33.14,1.10,17.90,1503,800,0,38,20.72,25.09,0.81,13.60,610,261,0,7384,3972,326,582,15,1.86,1453.17,5.31,2009-05-06 00:01:27,0,0
25,25,CrazedBomber,35.90,2.03,17.90,309,189,0,0,15.73,25.08,1.68,12.00,28,9,0,3520,1868,202,256,16,1.88,276.40,13.47,2009-05-06 00:01:27,0,0
26,26,_SRM_Nuke,33.33,1.33,17.60,798,458,0,16,11.36,26.78,0.87,14.50,89,46,0,13015,7283,872,320,10,1.79,855.26,16.24,2009-05-06 00:01:27,0,0
27,27,Monkage,32.13,0.93,17.60,1795,1290,0,42,7.44,25.48,0.81,13.80,241,217,0,9951,6008,703,695,51,1.66,1707.66,6.24,2009-05-06 00:01:27,0,0
